rumi	jawi
mengajari	مڠاجري
mengajarkan	مڠاجرکن
pelajar	ڤلاجر
pelajaran	ڤلاجرن
pembelajaran	ڤمبلاجرن
pemelajaran	ڤملاجرن
pengajar	ڤڠاجر
pengajaran	ڤڠاجرن
sepengajaran	سڤڠاجرن
terajari	تراجري
terajarkan	تراجرکن
terpelajar	ترڤلاجر
ajat	اجت
ajek	اجيق
ajeng	اجڠ
ajengan	اجڠن
aji	اجي
aji-aji	اجي٢
ajidan	اجيدن
ajih	اجيه
ajik	اجيق
ajir	اجير
ajla	اجلى
ajmain	اجمعين
ajnabi	اجنبي
ajnas	اجناس
ajrih	اجريه
aju	اجو
ajuan	اجوان
diajukan	دأجوکن
mengajukan	مڠاجوکن
pengajuan	ڤڠاجوان
ajujah	اجوجه
ajuk	اجوق
ajukan	اجوقن
diajuk	دأجوق
keajukan	کأجوقن
mengajuk	مڠاجوق
ajum	اجوم
ajun	اجون
diajun	دأجون
mengajun	مڠاجون
terajun	تراجون
ajung	اجوڠ
ajutan	اجوتن
ajuwaf	اجوف
akad	عقد
akadkan	عقدکن
berakad	برعقد
diakad	دعقد
diakadkan	دعقدکن
mengakad	مڠعقد
mengakadkan	مڠعقدکن
akademi	اکاديمي
akademia	اکاديميا
akademik	اکاديميک
akademikus	اکاديميکوس
akademis	اکاديميس
akah	اکه
akaid	عقائد
akak	اکق
akal	عقل
akal	اکل
akal-akal	عقل٢
akal-akalan	عقل-عقلن
berakal	برعقل
diakali	دعقلي
diakalkan	دعقلکن
mengakali	مڠعقلي
mengakalkan	مڠعقلکن
seakal	سعقل
seakal-akal	سعقل-عقل
terakalkan	ترعقلکن
akan	اکن
akan-akan	اکن٢
berakan-akan	براکن-اکن
keakanan	کأکنن
mengakan	مڠاکن
mengakankan	مڠاکنکن
seakan-akan	سأکن-اکن
akang	اکڠ
akantus	اکنتوس
akapnia	اکڤنيا
akar	اکر
berakar	براکر
berakarkan	براکرکن
mengakar	مڠاکر
perakaran	ڤراکرن
akarat	اکارة
akas	عکس
akas	اکس
keakasan	کعکسن
akasa	اکاس
akasia	اکاسيا
akaun	اکاءون
perakaunan	ڤراکاءونن
akauntabiliti	اکاءونتابيليتي
akauntan	اکاءونتن
akbar	اکبر
aken	اکين
akhbar	اخبار
akhbiat	اخبية
akhdar	اخضر
akhiar	اخيار
akhir	اخير
akhir-akhir	اخير٢
akhiran	اخيرن
berakhir	براخير
berakhiran	براخيرن
berakhirkan	براخيرکن
diakhiri	دأخيري
keakhiran	کأخيرن
keterakhiran	کتراخيرن
mengakhiri	مڠاخيري
mengakhirkan	مڠاخيرکن
pengakhir	ڤڠاخير
pengakhiran	ڤڠاخيرن
terakhir	تراخير
akhirat	اخيرة
keakhiratan	کأخيرتن
akhirulkalam	اخرالکلام
akhiz	اخيذ
akhlak	اخلاق
berakhlak	براخلاق
akhtaj	اختاج
akhwan	اخوان
aki	اکي
aki-aki	اکي٢
akibah	عاقبة
akibat	عاقبة
berakibat	برعاقبة
diakibatkan	دعاقبتکن
mengakibatkan	مڠعاقبتکن
akidah	عقيدة
berakidah	برعقيدة
akik	عقيق
akikah	عقيقه
berakikah	برعقيقه
diakikahkan	دعقيقهکن
mengakikahkan	مڠعقيقهکن
akil	عاقل
akit	اکيت
akla	اعلى
aklam	اعلم
aklamasi	اکلاماسي
aklan	اعلن
akliah	عقليه
aklimasi	اکليماسي
akmal	اکمل
akne	اکني
akolia	اکوليا
akoluria	اکولوريا
akomodasi	اکوموداسي
mengakomodasikan	مڠاکوموداسيکن
akordion	اکورديون
akrab	اقرب
akrab	عقرب
keakraban	کأقربن
mengakrabkan	مڠقربکن
akraf	اعراف
akram	اکرم
akreditasi	اکريديتاسي
mengakreditasi	مڠکريديتاسي
akrilik	اکريليک
akrobat	اکروبت
akrobatik	اکروباتيک
akrofobia	اکروفوبيا
akronim	اکرونيم
berakronim	براکرونيم
diakronim	دأکرونيم
diakronimkan	دأکرونيمکن
mengakronim	مڠکرونيم
mengakronimkan	مڠکرونيمکن
pengakroniman	ڤڠکرونيمن
akru	اکرو
akruan	اکروان
terakru	تراکرو
terakruan	تراکروان
aksam	اقسام
aksara	اکسارا
beraksara	براکسارا
keberaksaraan	کبراکساراءن
aksen	اکسين
mengaksenkan	مڠکسينکن
pengaksenan	ڤڠکسينن
aksentologi	اکسينتولوݢي
aksep	اکسيڤ
akses	اکسيس
mengakses	مڠکسيس
aksesori	اکسيسوري
aksi	اکسي
beraksi	براکسي
aksiom	اکسيوم
akta	اکتا
mengaktakan	مڠکتاکن
aktentas	اکتنتس
aktif	اکتيف
diaktifkan	دأکتيفکن
keaktifan	کأکتيفن
mengaktifkan	مڠکتيفکن
pengaktif	ڤڠکتيف
pengaktifan	ڤڠکتيفن
seaktif	سأکتيف
teraktif	تراکتيف
aktinium	اکتينيوم
aktinoterapi	اکتينوتيراڤي
aktivis	اکتيۏيس
aktivisme	اکتيۏيسمى
aktiviti	اکتيۏيتي
beraktiviti	براکتيۏيتي
aktor	اکتور
aktres	اکتريس
aktual	اکتوال
aktuari	اکتواري
aktuil	اکتويل
aku	اکو
ku	کو
akuan	اکوان
beraku	براکو
beraku-aku	براکو-اکو
beraku-akuan	براکو-اکوان
diakui	دأکوءي
akuilah	أکوءيله
diperakukan	دڤراکوکن
keakuan	کأکوان
mengaku	مڠاکو
mengakui	مڠاکوءي
memperakui	ممڤراکوءي
memperakukan	ممڤراکوکن
pengakuan	ڤڠاکوان
perakuan	ڤراکوان
teraku	تراکو
akua	اکوا
akuafobia	اکوافوبيا
akuakultur	اکواکولتور
akualung	اکوالوڠ
akuamarin	اکوامارين
akuanaut	اکواناءوت
akuaregia	اکواريݢيا
akuarel	اکواريل
akuarium	اکواريوم
akuatik	اکواتيک
akuatin	اکواتين
akueduk	اکوءيدوق
akueduktus	اکوءيدوقتوس
akueus	اکووييوس
akuifer	اکوايفر
akuk	اکوق
akuk-akuk	اکوق٢
terakuk	تراکوق
terakuk-akuk	تراکوق-اکوق
akulturasi	اکولتوراسي
mengakulturasi	مڠاکولتوراسي
akumen	اکومن
akumulator	اکومولاتور
akupunktur	اکوڤونکتور
akur	اکور
diakuri	دأکوري
diperakuri	دڤراکوري
keakuran	کأکورن
mengakuri	مڠاکوري
mengakurkan	مڠاکورکن
memperakuri	ممڤراکوري
perakuran	ڤراکورن
akus	اکوس
akustik	اکوستيک
akut	اکوت
akwal	اقوال
akzam	اعظم
ala	الا
ala	على
terala	ترعلى
terala	ترالا
alabangka	الابڠک
alabaster	الابستر
alacarte	الاکرت
alaf	الاف
alah	اله
alahan	الهن
alah-mengalahi	اله-مڠالهي
beralah	براله
beralahan	برالهن
kealahan	کألهن
mengalah	مڠاله
mengalahi	مڠالهي
mengalahkan	مڠالهکن
pengalahan	ڤڠالهن
peralahan	ڤرالهن
teralahkan	ترالهکن
alahai	الاهاي
alai	الاي
alai-balai	الاي-بالاي
alai-belai	الاي-بلاي
mengalai	مڠالاي
mengalai-balaikan	مڠالاي-بالايکن
alaihi	عليه
alaihissalam	عليهالسلام
alaika	عليک
alaikum	عليکم
alak	الق
mengalak	مڠالق
sealak-alak	سألق-الق
alakah	علقة
alakulihal	علىکلهال
alala	الالا
alalia	الاليا
alam	عالم
berpengalaman	برڤڠالمن
dialami	دعالمي
kealaman	کعالمن
mengalami	مڠالمي
pengalaman	ڤڠالمن
sealam	سعالم
sealaman	سعالمن
sepengalaman	سڤڠالمن
alamah	علامة
alamak	الامق
alaman	الامن
alamang	الامڠ
alamar	الامر
alamas	الامس
alamat	علامت
beralamat	برعلامت
beralamatkan	برعلامتکن
dialamati	دعلامتي
dialamatkan	دعلامتکن
mengalamati	مڠعلامتي
mengalamatkan	مڠعلامتکن
sealamat	سعلامت
alamatulhayat	علامةالحياة
alamiah	عالمية
alamin	عالمين
alan	الن
alan-alan	الن٢
alang	الڠ
alang-alang	الڠ٢
alang-alangan	الڠ-الڠن
alangan	الڠن
alangkah	الڠکه
beralang	برالڠ
mengalang	مڠالڠ
mengalangi	مڠالڠي
mengalangkan	مڠالڠکن
teralang	ترالڠ
alap	الڤ
alap-alap	الڤ٢
mengalap	مڠالڤ
alaqah	علاقة
alar	الر
alas	الس
alasan	السن
beralas	برالس
beralasan	برالسن
beralaskan	برالسکن
dialas	دألس
dialasi	دألسي
dialaskan	دألسکن
mengalas	مڠالس
mengalasi	مڠالسي
mengalaskan	مڠالسکن
pengalas	ڤڠالس
pengalasan	ڤڠالسن
alat	الت
alatan	التن
beralat	برالت
beralatan	برالتن
beralatkan	برالتکن
diperalat	دڤرالت
diperalatkan	دڤرالتکن
mengalati	مڠالتي
mengalatkan	مڠالتکن
memperalat	ممڤرالت
memperalati	ممڤرالتي
memperalatkan	ممڤرالتکن
peralatan	ڤرالتن
alau	الاو
alban	البن
al-baibithamanajil	البيعبثمنعاجل
albatros	الباتروس
albedo	البيدو
albino	البينو
albion	البيون
album	البوم
albumen	البومين
albumin	البومين
aldehid	الديهيد
al-din	الدين
aleban	البن
alegori	اليݢوري
mengalegorikan	مڠاليݢوريکن
alegreto	اليݢريتو
alegro	اليݢرو
aleja	اليجا
aleksia	اليکسيا
alergen	اليرݢن
alergenik	اليرݢنيک
alergi	اليرݢي
alfa	الفالفا
alfabet	الفابت
alfabetologi	الفابيتولوݢي
alfalfa	الفلفا
alferes	الفيريس
alfiah	الفيه
alfu	الف
alga	الݢا
algebra	الݢيبرا
algisid	الݢيسيد
algoja	الݢوجا
algojo	الݢوجو
algologi	الݢولوݢي
algoritma	الݢوريتما
al-haj	الحج
alhamdulillah	الحمدالله
alhasil	الحاصل
ali	الي
ali-ali	الي٢
mengali	مڠالي
mengali-ali	مڠالي-الي
alias	الياس
alibaba	عليباب
mengalibabakan	مڠعليباباکن
alibi	اليبي
alif	اليف
alifatik	اليفاتيک
alif-ba-ta	اليف-باء-تاء
aligator	اليݢاتور
alih	اليه
alih-alih	اليه٢
alihan	اليهن
beralih	براليه
dialih	دأليه
dialihkan	دأليهکن
mengalih	مڠاليه
mengalihkan	مڠاليهکن
pengalihan	ڤڠاليهن
peralihan	ڤراليهن
teralih	تراليه
al-ijarah	الاجارة
alik	اليق
alim	اليم
alim	عاليم
kealiman	کعاليمن
alimbubu	اليمبوبو
alimentari	اليمينتاري
alimiah	عالمية
alimiat	عالمية
alimoni	اليموني
alin	الين
alinan	الينن
dialin	دألين
mengalin	مڠالين
pengalin	ڤڠالين
alinea	الينيا
aling	اليڠ
alingan	اليڠن
aling-aling	اليڠ٢
aling-alingan	اليڠ-اليڠن
mengaling	مڠاليڠ
mengalingi	مڠاليڠي
alip	اليڤ
alip-alipan	اليڤ-اليڤن
alir	الير
aliran	اليرن
beraliran	براليرن
dialirkan	دأليرکن
mengalir	مڠالير
mengaliri	مڠاليري
mengalirkan	مڠاليرکن
pengalir	ڤڠالير
pengaliran	ڤڠاليرن
sealiran	سأليرن
alis	اليس
alit	اليت
mengalit	مڠاليت
pengalit	ڤڠاليت
aliterasi	اليتراسي
aljabar	الجبر
al-kafalah	الکفالة
alkah	علقة
alkali	الکالي
beralkali	برالکالي
kealkalian	کألکالين
mengalkalikan	مڠلکاليکن
pengalkalian	ڤڠلکالين
alkalimeter	الکاليميتر
alkalimetri	الکاليميتري
alkaloid	الکالوءيد
alkamar	القمر
alkana	الکان
alkari	الکاري
al-kasyaf	الکشاف
alkatipa	الکاتيڤا
alkena	الکينا
alketip	الکتيڤ
alkimi	الکيمي
alkimia	الکيميا
alkisah	القصه
alkohol	الکوهول
beralkohol	برالکوهول
alkoholisme	الکوهوليسمى
alkoholometer	الکوهولوميتر
alkoholuria	الکوهولوريا
alkonya	الکوڽا
alku	الکو
alkuna	الکونا
allah	الله
allahuakbar	اللهاکبر
allahumma	اللهم
allahyarham	اللهيرهم
allahyarhamah	اللهيرهمه
allamah	علامة
almaktub	المکتوب
almalun	الملعون
almamater	الماماتر
almanak	المناک
almarhum	المرهوم
almarhumah	المرهومه
almari	الماري
almas	الماس
al-masih	المسيح
al-mubarak	المبارک
al-mudarabah	المضاربة
almukhalis	المخلس
al-murabahah	المرابحة
aloevera	الوۏيرا
alofon	الوفون
alogami	الوݢامي
alograf	الوݢرف
aloi	الوي
alomorf	الومورف
alon	الون
alon-alon	الون٢
along	الوڠ
alongan	الوڠن
alonim	الونيم
alopati	الوڤاتي
alopesia	الوڤيسيا
alotrop	الوتروڤ
alotropi	الوتروڤي
alpa	الڤا
kealpaan	کألڤاءن
